11744	3876	61
11316	1843	86
10226	2799	2
8221	2131	59
11017	3368	85
9083	1921	63
11381	3694	72
12193	1314	73
14906	3213	50
8919	1245	37
13861	3295	92
13015	3896	61
13387	1323	68
13224	1880	82
11028	2108	75
11242	1095	91
12648	1215	54
12392	2731	72
9366	3808	82
14158	2461	53
10636	1560	50
12418	1583	59
12519	3144	79
9789	2156	20
14663	3211	58
14230	1499	71
14814	2570	68
11954	2402	2
13746	1629	19
9512	2564	4
13446	3670	60
9116	2109	12
10364	3405	18
9206	3453	31
8924	2225	66
10513	3027	80
9003	1915	74
8828	3719	92
13864	3435	69
11555	3431	94
10971	2289	20
13565	2433	48
12049	3378	36
11482	2657	36
11923	3403	68
10717	2298	7
10263	2386	52
10435	1218	22
