var1	1	0	0.3	0.16	0.17	-0.13	0.03	-0.03	-0.09	0.1	-0.3	-0.47	-0.39	0.33	0.16	0.25
var2	-4	0.05	0	-0.08	0	0.32	0.47	-0.01	-0.17	0.46	0.15	-0.38	0.49	-0.39	0.18	-0.24
var3	1	0.23	0.05	0	-0.48	-0.27	0.34	0.06	0.43	-0.13	-0.09	0.22	0.27	-0.49	0.15	-0.09
var4	35	-0.24	-0.12	0.3	0	-0.46	0.46	0.25	-0.26	0.22	0.15	-0.37	0.29	0.28	0.04	0.14
var5	-11	-0.26	0.01	-0.29	-0.2	0	-0.12	0.29	0.39	0.5	-0.02	0.42	0.33	0.03	0.2	-0.38
var6	-29	0.12	-0.02	-0.13	0.22	-0.14	0	0.34	0.5	-0.3	-0.3	-0.32	-0.01	-0.13	0.01	0.32
var7	3	-0.11	0.49	0.37	0.31	0.38	0.15	0	0.39	-0.01	-0.3	-0.16	0.09	-0.31	-0.19	0.39
var8	1	-0.35	-0.43	-0.5	0.32	-0.48	0.34	-0.48	0	0.26	0.02	0.38	-0.46	0.25	0.22	0.39
var9	-30	0.31	0.25	0.22	0	0.44	-0.37	0.05	-0.12	0	-0.01	0	0.27	0.45	0.28	-0.35
var10	16	-0.06	0.06	-0.2	-0.35	-0.24	0.09	-0.06	-0.4	-0.23	0	0.07	-0.5	0.18	-0.23	-0.33
var11	29	0.38	-0.17	-0.36	-0.05	0.3	-0.26	0.26	0.08	-0.4	-0.43	0	-0.24	0.01	-0.15	0.31
var12	-34	0.22	-0.03	-0.47	-0.02	0.29	-0.39	-0.03	-0.05	-0.39	0.11	-0.13	0	-0.12	0.33	-0.12
var13	-45	-0.36	0.22	0.26	0.13	-0.39	0.3	-0.35	0.08	0.19	0.06	-0.17	0.14	0	0.12	-0.1
var14	33	0.05	-0.21	0.49	-0.43	0.37	0.35	-0.21	0.06	0.2	0.25	0.38	-0.15	0.01	0	-0.07
var15	-14	0.22	0.43	0.39	-0.34	-0.28	0.05	0.29	-0.49	0.46	-0.18	-0.5	0.42	0.21	-0.34	0
